,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,-98.80329262156505,-98.99999999999925,-98.99999999999925,-98.99999925401094,-98.99978614580077,-91.29141576701062,-98.99999999651703,-98.99999999999925,-96.95440191122724,-98.99999420367594,-92.82056307679733,-98.99999999999925,-98.99999997873833,-66.8798925435208,-98.99999999999925,-98.98655943244604,-85.73601218906167,-98.9999986228364,-97.30999104207788,-98.99589445732694,-98.99999999658634,-97.73727246747016,-98.90266158452174,-92.5670803762732,-98.99980852815457,-98.91628328254038,-84.48030937842161,-98.99998283864286,-98.99999789957423,-98.92799873772569,-64.53878166524818,-98.99962076213733,-98.99999999999582,-98.94455592149627,-98.99555072741373,-98.99999583980116,-98.98050535154891,-98.94511036228131,-98.9999968916155,-98.93930702605077,-98.76897576707533,-98.93152751599689,-96.59753430150464,-98.55601337418824,-85.6020325142037,-98.95134665551215,-98.99854187211938,-98.99998416444873,-98.89968204081602,-98.99985978452237,-97.68547493495227,-98.11173722782941,-98.9986272015451,-92.0284945959889,-98.92727145224816,-98.99999999999925,-56.86657778452314,-98.1294136569956,-90.30334409017519,-98.99999999966147,-98.98796614570998,-56.011098647610595,-98.77583741781743,-76.63113260213517,-88.36718163147874,-79.76146871060318,-39.70335535985003,-76.17695398646585,-98.99946088690696,-98.9993068934319,-98.9999999971797,-98.99968981872108,-79.37084859769736,-98.99993597624604,-98.4176023231336,-98.99999800251598,-85.73601218906167,-98.99999992826453,-98.99422204767293,-94.47477751857184,-87.12424430884558,-98.99416368451811,-98.483771509903,-40.88335858818901,-98.19667107095128,-98.99999998329514,-28.65523050004305,-50.98585434285784,-98.89128308210306,-82.94518088891023,-78.15075382652377,-53.79563497335242,-80.88730468740286,-97.6452371227346,-98.97256412651039,-92.7581445220175,-98.93991395579026,-94.42906820057762,-98.84545131262814,-97.79915868082936,-94.28915128282893,-90.39031064927343,-98.98050535154891,-91.52036842731464,-98.99996165258798,-98.97085878708431,-89.85515572876993,-95.18549451073217,-98.99869448232887,-32.77179590160162,-82.78301099889923,-98.92871875034842,-98.99896392252862,-71.65108489777832,-98.99828749242755,-83.10572908002112,-98.76664218896498,-87.0042871806521,-97.63155264922688,-96.97485789211497,-98.99979249748434,-67.51908268190473,-91.66921309561108,-93.3549777909171,-97.24066627351272,-83.88470650468516,-72.4633750252294,-62.762798213950255,-75.00075204158648,-91.44481659324711,-98.99985549250528,-78.76999728712218,-98.92428810135092,-39.10439935338387,-84.91155870957311,-93.18218280232908,-98.99980067391138,-98.99999994306965,-67.51908268190473,-98.99894288595921,-98.68767863146206,-93.00409853285336,-97.9355924213555,-88.78615710014377,-86.88311836429506,-98.99898454047029,-98.93289011842855,-98.99741423220554,-98.99814411550369,-93.24036097430579
1,-98.99999999999925,-98.99999999156586,-98.99999943698764,-98.99999999987212,-98.99999378120425,-98.99999999985288,-98.99999396590869,-98.99998730573766,-98.99999999999925,-98.99999988023261,-98.98867036506515,-98.99999943698764,-98.99999852246027,-98.99999999999343,-98.99999994306965,-98.99907236020547,-87.47696612862855,-98.9948267782503,-98.85004156319178,-98.9999998000399,-98.91107967861788,-98.99999999999925,-98.97056443139829,-98.95773261069894,-93.84317484957457,-97.73727246747016,-98.98796614570998,-92.3031997252135,-98.64408673940306,-98.99913537909215,-97.86943173542033,-98.99999999999925,-98.99517821927004,-98.82738514004429,-98.98655943244604,-98.9265368204527,-98.85449547872342,-98.99999999999925,-95.61888004123486,-98.99979457250949,-98.74710468405382,-95.84857524931829,-98.96020609200605,-98.99992555882565,-98.25124494226245,-98.87231672363839,-98.9948267782503,-98.99999999803588,-98.99999999942352,-98.79929866499853,-96.0920395314196,-94.38289717230063,-98.9999824901978,-45.90944570448865,-98.52841637065397,-98.96645599611834,-98.98513839678455,-98.98614801462853,-98.99938564082353,-98.81665586888313,-93.29795736456273,-98.99998102421797,-31.42709509397166,-96.69220103586349,-98.9265368204527,-98.92727145224816,-98.99999999999925,-81.24774732412354,-98.99997608941473,-66.55544701365737,-98.99999999998644,-98.98201141657202,-97.65878475150726,-98.9950803175901,-14.705680661607312,-98.99985836820441,-77.72742967709803,-27.944677272770758,-96.93373930426993,-98.99999999997418,-95.2614031699686,-73.50902393036901,-98.51884131277825,-98.99234423655922,-98.99512951441419,-98.92871875034842,-98.9647272819677,-98.9696634041654,-98.42342629990226,-98.79522361493575,-98.99999990590135,-50.01097269957947,-91.88694479745833,-48.511411121292994,-93.63164004769764,-54.247678623618896,-98.99999992532193,-98.93991395579026,-98.0373688653704,-98.3363148442005,-98.95730566737267,-92.88235744602936,-98.99991685692643,-95.61888004123486,-52.87780325819041,-94.9483952033458,-98.98747251272675,-58.52680273216757,-25.769663034560235,-98.63686025854817,-97.05465657148264,-96.71527902550486,-98.56045324044636,-98.99756555095055,-74.26613141061311,-92.5670803762732,-41.46452500230712,-86.6370965863637,-98.99722576555361,-98.99690146776017,-98.99628702079829,-98.9999999911312,-60.89528818954497,-84.76925122179102,-62.027036235027296,-98.93991395579026,-95.33580124688622,-57.28791200667791,-98.76428503935857,-88.25977942573611,-49.51613403997926,-86.51221877410474,-83.4220250713287,-10.361512828387072,-91.95807534948374,-81.94725691104124,-98.99854187211938,-98.64049165596269,-85.46669950929667,-96.06266619335314,-97.45614766853629,-56.011098647610595,-98.93869396570786,-69.65772784747834,-25.769663034560235,-96.71527902550486,-93.99633771336734,-96.52399446099052,-98.97228699647515,-90.21549908098504
2,-98.99999999999925,-98.99994548647715,-98.99999999999925,-98.99999999815081,-98.9999999911312,-98.99999999999925,-98.99779832791712,-98.99999999999925,-98.9992563755646,-98.99999999999925,-98.99992991511203,-49.51613403997926,-98.93991395579026,-98.983894133117,-98.99999998788925,-98.68133724258959,-98.98867036506515,-98.99953633128021,-98.9907334129863,-98.99816267434865,-24.282790566840358,-98.99894288595921,-98.99477452348515,-98.99999952061873,-98.9984355947961,-78.56565382537595,-98.99999991317097,-98.99812536919565,-98.99984804520852,-96.95440191122724,-98.99999999946267,-98.30909024304661,-98.99999999999102,-20.432185919278105,-98.56920022096149,-89.28673703099494,-98.99999999999925,-98.86022893742476,-98.99999999972029,-79.17257434110844,-98.99714084581517,-92.3031997252135,-90.39031064927343,-98.99999999388537,-98.94110966807003,-98.97687311718738,-98.96290947730104,-20.432185919278105,-97.34362222034054,-98.99996987127659,-98.99999929057184,-98.99992404736828,-92.69509547678535,-59.332219357797435,-59.72889716421946,-81.4252698508823,-86.12996589103435,-98.9984355947961,-98.99895345709962,-98.68767863146206,-98.9999977913273,-98.99999999939988,-98.46259563362437,-95.51538344493281,-98.97172431024912,-98.96841898621399,-52.87780325819041,-98.99999999729083,-98.99999990399077,-87.47696612862855,-98.99999821157613,-81.94725691104124,-98.94285876981867,-89.57523065443736,-28.65523050004305,-98.91372070108325,-96.78313752316834,-64.19068855075574,-98.9235233346979,-98.99444972204866,-93.00409853285336,-98.99999789957423,-82.94518088891023,-98.99999999999925,-98.99492972536312,-90.64602703267936,-92.43646605068176,-95.81674267607907,-98.30909024304661,-77.72742967709803,-98.93617917037557,-98.85004156319178,-94.38289717230063,-27.226946740172483,-87.70627450266883,-98.99999817526388,-98.99971947761132,-73.76393369106532,-98.23604218167785,-98.99997191806091,-98.9647272819677,-86.76072562050005,-98.98254569548843,-98.59846645407222,-67.51908268190473,-98.99999999996754,-28.65523050004305,-87.59219646734226,-61.27633530764952,-98.48893379480397,-76.40518444660118,-50.98585434285784,-92.88235744602936,-98.99840383103368,-73.50902393036901,-38.49939328624633,-78.76999728712218,-98.97640354778837,-98.99931382449759,-98.99939786657114,-96.3435279569512,-93.41142801300794,-37.27098590577118,-91.74252096465497,-98.99994381780992,-11.247897700103202,-93.68532364722067,-55.13824981900888,-98.71180711422514,-33.4340779425856,-98.71468904308288,-96.28959081415285,-94.38289717230063,-58.52680273216757,-88.36718163147874,-95.71930268513013,-98.99035329429103,-87.24300186575712,-92.09820965002902,-32.10282414303194,-98.99779832791712,-90.81227109472904,-81.77500698084974,-98.99348144072468,-98.73936351996016,-91.81509575500841,-98.96508000914802,-52.87780325819041,-98.99999051520136,-98.93083587474433
3,-98.88218093417017,-96.42242783310179,-98.99999999999925,-98.99999999999925,-98.99984181196893,-97.96720639084882,-98.99999999999925,-98.99999999990244,-98.99999991659236,-98.99999970408257,-98.16371823254947,-98.9999933279402,-98.99999999999925,-98.99999996414378,-98.874857620838,-86.88311836429506,-98.99950751089115,-98.99999961955614,-98.99999999999925,-98.99999987780085,-98.83082017575741,-90.12676674846973,-98.99999999999925,-98.99999997182849,-17.209306240276913,-98.5041129721645,-98.76428503935857,-98.62948705086029,-18.027213177874145,-12.994164535871148,-98.96508000914802,-98.99998919137164,-84.91155870957311,-98.62948705086029,-98.99153481293767,-98.99988531678807,-98.99416368451811,-98.45716730669129,-98.77583741781743,-98.97710438601551,-98.9992563755646,-98.9999999964463,-98.94935087801599,-98.86573647497677,-60.12160819257726,-98.3363148442005,-98.97710438601551,-98.99999999997003,-98.09370189555086,-98.99988415837178,-98.99999999999673,-98.49910401228738,-98.90459861898975,-98.99999995343619,-98.99773093439974,-98.99999949082171,-80.51954360514526,-98.99966721080276,-75.24074452117061,-98.99883112008742,-82.28660649851152,-98.9999999999936,-77.72742967709803,-86.88311836429506,-98.99999669840675,-84.91155870957311,-98.25124494226245,-98.99512951441419,-81.4252698508823,-98.92118237233873,-54.695201837382704,-21.217864060085322,-98.58617545114673,-69.36134126007913,-98.99919411681272,-98.99999999983068,-98.37515360036267,-29.358678195042618,-97.82305542308086,-98.97908446173345,-98.99992093176432,-86.6370965863637,-97.30999104207788,-63.12517023181075,-72.4633750252294,-98.98922562990795,-98.99999999999925,-96.47372151922306,-97.11243521665303,-98.72036673112554,-96.66888993521565,-98.8238803591922,-78.76999728712218,-94.04637433623367,-98.39371216327828,-76.17695398646585,-78.35924628825853,-98.99985693758022,-96.28959081415285,-87.0042871806521,-43.73165228376146,-95.1080445982371,-98.99109855348831,-98.93869396570786,-98.9999998136241,-98.23604218167785,-71.3748332300791,-85.99996554649934,-86.258666232124,-98.99983696980924,-75.94641816814732,-98.99961693145184,-98.86162664805052,-98.42342629990226,-98.99264590418528,-73.50902393036901,-84.48030937842161,-98.9936750484537,-34.73883979152815,-94.38289717230063,-96.73812623524981,-97.85801185395994,-98.8238803591922,-98.99927846195396,-98.99954555828774,-92.5670803762732,-95.44463161405245,-98.99758989544105,-98.91458349407242,-74.51347009650698,-95.58472731437865,-98.93869396570786,-55.576867320818785,-72.19532830831253,-77.72742967709803,-98.99999999868601,-98.97990861739414,-98.91794924521783,-98.3560269570129,-68.14555293653483,-98.99054526373463,-94.1935019720732,-98.99985403283361,-96.47372151922306,-58.117982557745016,-25.029962661171954,-90.72956676235256,-25.769663034560235,-98.99988646362019,-43.1733861452136
4,-98.99999999999925,-98.99999999999903,-98.99999999999925,-98.99999999999925,-98.99992630323739,-98.99999999999925,-98.99991516878526,-98.99999991825217,-98.9999940262496,-98.99998140183602,-98.95980413333945,-68.75955643309779,-98.9999863805018,-93.18218280232908,-98.9999999999979,-98.5041129721645,-98.76428503935857,-97.98775898367093,-63.12517023181075,-94.60918115149273,-98.99999998882484,-98.99999999997205,-98.3560269570129,-98.99503062382838,-98.92197054861535,-87.24300186575712,-93.29795736456273,-98.99975629734944,-98.0373688653704,-65.89669116789857,-98.9999999723891,-98.97311010039283,-98.94883927072323,-98.98306410578672,-87.36057184709955,-98.99999991051311,-98.99996701898789,-98.99680662121693,-98.99999982802261,-98.99153481293767,-96.37009267738169,-98.99999993953104,-98.99999999999224,-98.99999999988432,-98.99999999999469,-88.36718163147874,-98.9988884068336,-98.99991079694814,-98.78682361478448,-98.99998102421797,-98.99999999999925,-98.79522361493575,-19.63857163563445,-18.027213177874145,-27.226946740172483,-98.98832356321624,-73.76393369106532,-98.99999999999925,-40.29632180625153,-98.96099799077511,-98.40577729122904,-98.99999946458085,-98.46796967728812,-82.4537404335264,-98.90363496867651,-95.71930268513013,-97.36018599813713,-98.99978828434276,-90.56164346735288,-98.99186837508402,-94.69655844657804,-98.69998533954471,-97.56102873955726,-38.49939328624633,-92.5670803762732,-98.99999844631422,-83.88470650468516,-98.82738514004429,-97.3268911316571,-67.51908268190473,-90.39031064927343,-43.1733861452136,-98.99988061244193,-98.99928567733443,-85.6020325142037,-98.99999575533228,-27.944677272770758,-39.10439935338387,-98.99999978973483,-79.37084859769736,-98.52841637065397,-98.36884202056835,-68.45409740716948,-98.75949907086886,-98.99178623745861,-98.97518748780378,-44.831492403314606,-98.91107967861788,-97.79915868082936,-34.73883979152815,-98.99999999703435,-62.39676587267702,-98.99969903141525,-93.79108570664097,-97.4405532005417,-23.528071279636727,-98.90555263279985,-95.78458856169604,-97.9355924213555,-17.209306240276913,-78.97229731425095,-21.217864060085322,-92.7581445220175,-98.99997434666429,-94.86613121451465,-98.69080184514745,-95.48018529791193,-98.99962830897078,-98.9119688818317,-88.1512923492284,-98.67158292710762,-98.27348371623232,-77.51255522939195,-98.95898799442857,-98.75949907086886,-50.98585434285784,-98.59031369663526,-32.10282414303194,-83.88470650468516,-45.37317747928146,-65.89669116789857,-98.99624951595787,-65.56231431100865,-52.41192248302062,-98.9203862346856,-89.76278356441406,-98.99512951441419,-90.47640754278069,-98.99852714355492,-62.027036235027296,-83.10572908002112,-98.99992630323739,-98.83911167050145,-58.931534704845895,-97.72451764390925,-89.76278356441406,-66.55544701365737,-98.483771509903,-98.04699517671669,-34.73883979152815
5,-98.99999999999925,-98.99999999999925,-98.99999999139462,-98.99999999999925,-98.99999999996818,-98.90363496867651,-98.99999999999727,-98.99777608880518,-98.99999999582639,-64.19068855075574,-98.99999999999925,-98.99999999995833,-98.99999999996378,-98.99999999998138,-98.18036023972174,-98.99999999999925,-98.63319218035168,-98.99999999997063,-91.0554548309445,-98.9999999902916,-98.99999999997205,-98.99999999999925,-98.99999999999925,-88.88829552914233,-98.995414534503,-85.19191869125261,-98.99995802223536,-98.73138539765594,-98.99968668557685,-96.0030264190931,-98.99960915360866,-98.99998929945792,-82.4537404335264,-98.99956783045339,-98.99927846195396,-94.73959286211226,-98.99985549250528,-89.85515572876993,-98.46796967728812,-96.82725308645728,-98.96809998607473,-78.97229731425095,-98.99942159303076,-94.82437496415622,-98.99929282056108,-70.81393044595359,-98.9625348255566,-98.99999999561132,-98.97256412651039,-75.4783370759589,-98.69080184514745,-96.47372151922306,-98.99999012613155,-98.99999988948527,-98.99993334996888,-89.57523065443736,-98.98628653448225,-98.76897576707533,-98.9985993281758,-98.94399588029927,-74.01629435415467,-94.86613121451465,-98.99613471307079,-98.99999988023261,-98.89764517989596,-98.99869448232887,-98.99981044287303,-69.0619608687668,-15.54862385499124,-98.98642366913742,-98.99981973305836,-98.9999999999248,-98.79929866499853,-98.99997859193832,-98.84545131262814,-71.65108489777832,-50.98585434285784,-98.25873249283983,-98.20470436024176,-61.27633530764952,-98.2950619763765,-98.94455592149627,-16.383137616441328,-98.3363148442005,-98.99942737710045,-67.2010936180856,-74.7583353955419,-86.12996589103435,-94.09591059287133,-95.94217571583829,-96.62155895848959,-97.05465657148264,-95.48018529791193,-22.765728565289624,-97.47158619185093,-86.258666232124,-98.18855663732452,-98.36246668744278,-98.67811842685818,-98.69389382669597,-98.97687311718738,-98.99999583980116,-86.88311836429506,-97.51698161036676,-81.4252698508823,-98.99754096055612,-83.4220250713287,-52.41192248302062,-53.33902522560851,-83.88470650468516,-80.51954360514526,-98.93869396570786,-79.17257434110844,-98.66491473023939,-82.4537404335264,-97.48687032993242,-93.24036097430579,-86.12996589103435,-94.1935019720732,-32.10282414303194,-95.33580124688622,-98.0845473692433,-79.56714011172039,-98.2879413902793,-85.32999950434008,-98.9456592586585,-93.18218280232908,-88.04170944366506,-93.57741418959358,-98.82210137292142,-98.95857373174603,-96.95440191122724,-88.36718163147874,-93.12341697204958,-88.04170944366506,-97.61772994871401,-98.99994657129625,-90.12676674846973,-98.97687311718738,-98.99933420459618,-98.9979478977441,-98.9989105275376,-97.24066627351272,-98.97568125679648,-91.36850160934051,-50.500862972583676,-98.97908446173345,-25.769663034560235,-38.49939328624633,-90.30334409017519
6,-98.99999999999925,-98.99999999999925,-98.99398503401336,-98.99975134919849,-98.99999999999925,-98.99957215214886,-98.99999992606871,-98.99999999999925,-98.99999999999925,-98.99999999744935,-87.24300186575712,-98.99999997695828,-98.99998886051789,-98.98614801462853,-98.9999999999072,-98.999879406507,-98.98900686655234,-98.81480390796276,-98.00790257989588,-98.99999999999925,-98.99999616119858,-98.99999999999324,-80.88730468740286,-98.99999999999642,-98.81480390796276,-90.21549908098504,-94.09591059287133,-98.93807471283623,-87.81921175764214,-98.99999239669523,-98.99848205919507,-98.99967053869473,-94.42906820057762,-96.14990794474436,-96.93373930426993,-98.99999998379128,-98.99999999912092,-95.84857524931829,-98.84072055379644,-98.82030441709234,-98.99999506467479,-98.9999999637816,-98.9999997959799,-98.99999022487023,-98.97865979158601,-86.76072562050005,-98.99999999989107,-98.99946627803789,-98.99998121397579,-98.97283848524529,-39.10439935338387,-83.26467178922091,-98.99997105846849,-98.80130567834854,-98.99999999999925,-98.99279225069199,-37.27098590577118,-31.42709509397166,-43.1733861452136,-98.96996677012375,-98.99978398565734,-98.58617545114673,-98.81665586888313,-98.99990235208796,-98.16371823254947,-88.25977942573611,-93.94579567006802,-98.99963934856603,-98.99992328016998,-96.47372151922306,-98.99983860011115,-98.65811114196448,-98.21265731663935,-93.84317484957457,-90.56164346735288,-98.22053074347296,-96.44820355477077,-97.65878475150726,-91.95807534948374,-98.3560269570129,-98.99559522013959,-98.93617917037557,-66.8798925435208,-94.09591059287133,-93.73847041074846,-98.99995020095665,-63.12517023181075,-75.00075204158648,-98.99999997916143,-72.7287412749771,-96.17840886529692,-88.47350981516395,-88.9894125738509,-98.61039240191981,-98.97390875730105,-96.59753430150464,-76.40518444660118,-97.95677413217052,-80.7043481690938,-28.65523050004305,-83.88470650468516,-42.03987975228405,-92.0284945959889,-94.24156695235246,-93.94579567006802,-69.36134126007913,-88.9894125738509,-98.76190408016016,-83.57780482061541,-98.99517821927004,-80.51954360514526,-98.21265731663935,-98.9999990312374,-70.52922267268039,-86.76072562050005,-88.88829552914233,-95.75210965827883,-90.03713812976741,-97.0741100057678,-92.43646605068176,-18.836941046095404,-98.91284919301339,-39.10439935338387,-98.99563926793819,-81.77500698084974,-98.91018149355341,-92.09820965002902,-95.88008949682511,-85.32999950434008,-66.8798925435208,-98.94511036228131,-94.42906820057762,-98.76428503935857,-98.44055111536885,-98.93869396570786,-98.02764531855595,-98.99975629734944,-98.81480390796276,-95.88008949682511,-11.247897700103202,-89.28673703099494,-91.0554548309445,-44.284335760923845,-77.94015538032704,-97.16849777828321,-98.99999352610705,-85.99996554649934,-66.8798925435208,-98.99977959969121,-98.78895537863663
7,-98.99999999999925,-98.99999999999925,-98.99999999999925,-98.99895345709962,-98.99999996304622,-93.29795736456273,-87.93101964006571,-62.39676587267702,-98.99999999999925,-98.98772180972348,-72.99145386222733,-96.54875451638061,-98.99999999999925,-98.42919203690323,-98.99999999752511,-98.99999999350533,-98.99999999999925,-98.999999999994,-98.9999160170974,-98.99999999762262,-98.99991257208887,-98.99999642198621,-98.99999900158343,-98.99999999999925,-98.99861333489405,-71.09579114149405,-98.76428503935857,-98.94169857138932,-98.99761399648663,-92.37016772796137,-98.998667975032,-98.97568125679648,-98.9995806663211,-98.99892142226223,-98.99832157132825,-94.38289717230063,-98.99999880359488,-27.226946740172483,-98.86301038157,-98.9227508431292,-98.96138801086737,-34.08973716315975,-98.99999760640976,-98.99928567733443,-98.93152751599689,-98.91712044971497,-98.9999999712565,-62.762798213950255,-96.99510931319382,-78.15075382652377,-70.81393044595359,-45.37317747928146,-55.13824981900888,-98.99178623745861,-98.99999919155425,-98.89128308210306,-98.99977285320422,-92.23555527799344,-98.99908163660342,-98.97990861739414,-98.99997329435534,-98.88099084259612,-98.5041129721645,-91.21355127980871,-98.99978828434276,-36.01763687967674,-98.99837142233822,-98.17208105022398,-96.73812623524981,-97.0741100057678,-68.45409740716948,-33.4340779425856,-95.88008949682511,-98.99999993178027,-96.14990794474436,-98.9983549720588,-75.94641816814732,-44.284335760923845,-34.08973716315975,-98.27348371623232,-82.4537404335264,-75.24074452117061,-98.45168414817302,-85.19191869125261,-94.73959286211226,-59.72889716421946,-37.888276046713464,-98.898668728097,-98.99733508145998,-97.47158619185093,-98.01782355409692,-98.9999426770839,-84.91155870957311,-61.27633530764952,-51.94133584143497,-97.9355924213555,-98.58199540519871,-36.01763687967674,-98.99987445971904,-98.99907236020547,-98.99952213831017,-96.28959081415285,-98.61428847790062,-88.9894125738509,-98.9368173786718,-98.71468904308288,-61.27633530764952,-60.89528818954497,-98.66153003054484,-90.03713812976741,-54.695201837382704,-97.68547493495227,-63.48391852949264,-91.81509575500841,-98.99808730659693,-98.99998567861127,-98.95773261069894,-98.92197054861535,-76.40518444660118,-68.14555293653483,-98.76428503935857,-98.8184893101943,-86.88311836429506,-50.01097269957947,-98.3363148442005,-98.99999695347235,-72.19532830831253,-88.9894125738509,-98.99999999019353,-98.99833835561496,-97.42480121266838,-19.63857163563445,-91.74252096465497,-48.00142537504343,-93.00409853285336,-98.58199540519871,-98.92197054861535,-54.247678623618896,-87.93101964006571,-98.99593551275368,-86.76072562050005,-98.99512951441419,-91.66921309561108,-52.87780325819041,-96.97485789211497,-69.65772784747834,-97.6452371227346,-75.71355370519932,-90.12676674846973,-98.99512951441419
8,-98.99999999999925,-98.99845123884815,-74.51347009650698,-98.99999999394652,-98.99999999999925,-98.99999999999925,-98.90927423591253,-98.99999999998575,-98.98911679788682,-98.99823507231024,-98.99999999989215,-86.12996589103435,-98.99943310332944,-98.99999978329859,-98.99999999999925,-98.99999999999807,-98.99999999994087,-95.75210965827883,-98.99999997601311,-98.98820561941035,-98.99109855348831,-98.99226690561538,-77.72742967709803,-92.09820965002902,-98.99983028225283,-98.99964652552957,-97.37658413815575,-98.99999176012088,-98.99999968568916,-98.64764587200904,-98.99999999978019,-98.99998678501451,-34.08973716315975,-98.45716730669129,-98.99999999412631,-98.15527094196916,-98.97710438601551,-33.4340779425856,-95.58472731437865,-98.93617917037557,-98.99999999706401,-44.284335760923845,-98.99999999977572,-98.9265368204527,-96.0920395314196,-98.9998233203705,-98.99999995788849,-98.9999996825143,-94.86613121451465,-98.9999946514727,-98.28074887907,-53.33902522560851,-98.9999999991384,-93.24036097430579,-98.96712352179559,-71.09579114149405,-97.95677413217052,-98.95980413333945,-98.26614516791143,-98.99341559669159,-98.99585298719893,-82.4537404335264,-98.97026710242251,-62.762798213950255,-98.99994437963183,-97.7870289705347,-95.22363956562485,-98.9733789993889,-98.99963570562225,-98.95857373174603,-98.99286432818506,-98.9974910320948,-76.85482127611381,-98.99995264160526,-98.98922562990795,-98.93930702605077,-68.75955643309779,-90.56164346735288,-95.88008949682511,-98.86438027775431,-98.52365289965047,-58.52680273216757,-98.98642366913742,-98.99998538782907,-51.465995799429265,-98.19667107095128,-15.54862385499124,-96.14990794474436,-21.99568541948447,-90.39031064927343,-98.62948705086029,-98.99997880601893,-98.98867036506515,-53.33902522560851,-98.75461592783273,-26.50196640421463,-97.45614766853629,-98.92428810135092,-98.58617545114673,-89.66947834789299,-86.51221877410474,-97.36018599813713,-98.45716730669129,-91.74252096465497,-76.85482127611381,-98.02764531855595,-98.99035329429103,-70.24163906331353,-98.94343018212048,-96.76074497289731,-46.96594773496932,-98.99683855500476,-83.4220250713287,-87.93101964006571,-60.12160819257726,-96.95440191122724,-85.6020325142037,-98.99999890706326,-79.56714011172039,-98.95643879948237,-98.90266158452174,-98.99814411550369,-98.999879406507,-97.27567701466981,-98.32961095373788,-98.75461592783273,-98.98201141657202,-98.58617545114673,-96.76074497289731,-85.32999950434008,-98.84072055379644,-98.99999843062042,-98.2879413902793,-89.57523065443736,-98.98867036506515,-94.56482944595226,-97.51698161036676,-93.00409853285336,-98.8934465487692,-94.04637433623367,-55.576867320818785,-98.99643332699362,-34.73883979152815,-98.80913502741193,-85.86865206717106,-83.57780482061541,-98.61039240191981,-98.9265368204527,-98.99800884723321,-97.11243521665303
9,-98.99999999999925,-98.99999999999925,-98.99999999967805,-98.99986257481038,-98.99999999997063,-98.99999930468945,-98.99999999999925,-98.97228699647515,-98.99999906001061,-98.99998283864286,-98.99999990302098,-98.34952217880091,-98.99999999259886,-98.99999999999925,-98.99999999999925,-98.99999996191507,-98.42919203690323,-95.2614031699686,-98.99234423655922,-59.72889716421946,-98.99999999709337,-98.96328038252803,-98.99953633128021,-30.74454049896127,-96.47372151922306,-96.49898430403083,-98.99999999992251,-98.14673832522138,-98.99998691716436,-98.99999999382361,-95.9727539586799,-98.99980852815457,-98.99999999323892,-58.52680273216757,-98.99741423220554,-98.99035329429103,-98.99999999805551,-87.93101964006571,-98.99999973505376,-73.76393369106532,-71.92457404880054,-98.99999838258148,-98.99999999999925,-84.48030937842161,-98.99993972290655,-55.13824981900888,-97.84647662016155,-94.73959286211226,-98.99999999981091,-98.99999984289568,-98.99990806642917,-98.99992013309527,-98.99849723860312,-98.99999999787144,-76.40518444660118,-98.99979457250949,-98.99994710558329,-98.98808648425288,-98.99999985208939,-52.87780325819041,-79.56714011172039,-98.98747251272675,-12.994164535871148,-98.00790257989588,-79.95385402349714,-21.99568541948447,-98.68133724258959,-43.73165228376146,-98.90363496867651,-20.432185919278105,-71.3748332300791,-98.78249527067084,-82.94518088891023,-98.898668728097,-61.653571954573025,-87.47696612862855,-98.8438902147759,-98.99909082023738,-98.49910401228738,-97.69862018560275,-98.70595563128776,-98.82210137292142,-91.36850160934051,-98.9999999971512,-98.9265368204527,-35.38145139361287,-98.9617741307587,-98.95035879554347,-98.999879406507,-42.03987975228405,-98.82030441709234,-67.2010936180856,-98.82564155560028,-97.27567701466981,-27.226946740172483,-92.23555527799344,-98.99674178269251,-90.72956676235256,-98.95939811448429,-98.73138539765594,-96.80530614793665,-98.99613471307079,-82.61920302919114,-98.93744920488508,-32.10282414303194,-90.64602703267936,-94.98891125131233,-98.9647272819677,-98.57350821875188,-92.37016772796137,-98.99816267434865,-98.9998898357642,-98.8110436771378,-96.87049075003678,-98.8966112928242,-98.8934465487692,-84.3336458367895,-92.16722755352873,-78.15075382652377,-98.99999284163948,-98.36884202056835,-98.8184893101943,-98.99990713780724,-68.14555293653483,-98.30909024304661,-98.81293324036642,-98.99999998788925,-98.99997510859401,-98.97026710242251,-97.3268911316571,-98.90555263279985,-63.12517023181075,-98.3363148442005,-90.30334409017519,-90.64602703267936,-98.99118756795343,-96.91286798411105,-98.91794924521783,-96.31669490601132,-67.51908268190473,-25.029962661171954,-98.84231334825849,-91.5951647430415,-80.14431548326218,-43.73165228376146,-98.99964652552957,-38.49939328624633,-45.37317747928146,-98.91107967861788,-98.73407154367938
