,7,40,67,55,28,18,75,77,20,49,52,3,63,72,43,12,25,9,14,57,27,29,36,4,6,46,22,10,2,15,61,60,53,38,24,8,26,37,23,47,58,16,48,64,21,66,69,65,74,62,17,56,50,45,39,70,35,5,54,51,32,78,13,34,1,68,42,30,71,31,59,44,19,76,33,73,11,41,0
0,79.0,1,79.0,79.0,79,79,79,2,79.0,3.0,79.0,4.0,79.0,5.0,79.0,79.0,79.0,6.0,79.0,79.0,79.0,7.0,79.0,8.0,79.0,9.0,79.0,79,79,10,11,79.0,79,79,12,79,79,79,13.0,14,79,15.0,79,79.0,79,79,16,79,17,79.0,79,79,79,18,19.0,20.0,21.0,22,23.0,24,79,25,26,27,28,29.0,30.0,79.0,31.0,32,33.0,34.0,35.0,36.0,,,,,
1,11.0,79,,30.0,79,24,22,79,,,79.0,14.0,79.0,79.0,79.0,79.0,79.0,13.0,20.0,6.0,79.0,28.0,,,,79.0,12.0,1,79,18,79,9.0,79,79,15,5,79,79,3.0,79,10,,79,,79,79,16,79,79,29.0,7,79,79,79,,31.0,,17,,19,79,26,2,79,27,,4.0,25.0,79.0,79,79.0,79.0,,79.0,8.0,21.0,79.0,23.0,
2,2.0,79,13.0,5.0,79,79,79,79,,25.0,,,79.0,79.0,79.0,79.0,22.0,79.0,16.0,,,,79.0,79.0,79.0,24.0,,79,79,79,79,79.0,23,79,21,79,79,9,11.0,1,19,6.0,79,79.0,14,79,79,79,79,28.0,4,26,79,7,20.0,,79.0,79,10.0,79,79,79,79,27,79,,79.0,3.0,79.0,79,,18.0,15.0,17.0,8.0,12.0,,,79.0
3,79.0,79,11.0,6.0,7,79,79,79,,,,,,79.0,19.0,4.0,22.0,79.0,,79.0,13.0,14.0,,,26.0,79.0,18.0,15,9,79,79,79.0,27,79,79,79,79,79,23.0,21,79,79.0,79,5.0,79,79,25,79,79,79.0,79,79,16,79,79.0,,,79,2.0,79,10,79,79,24,12,8.0,79.0,79.0,3.0,17,,,79.0,1.0,,20.0,,,79.0
4,79.0,4,29.0,79.0,79,79,79,25,2.0,79.0,,,79.0,79.0,79.0,79.0,24.0,,79.0,12.0,79.0,5.0,79.0,79.0,79.0,,,13,79,15,79,79.0,10,79,79,79,79,11,,79,18,27.0,79,14.0,28,3,16,30,8,79.0,79,79,79,79,17.0,,6.0,19,79.0,79,22,79,79,1,7,79.0,21.0,20.0,79.0,79,79.0,23.0,79.0,,,9.0,,,26.0
5,11.0,6,79.0,79.0,79,79,79,12,,,,,,,,,,,,,,,1.0,20.0,79.0,,,79,10,79,19,3.0,79,8,79,14,79,2,4.0,79,79,79.0,15,16.0,79,79,79,79,21,17.0,79,18,79,79,,,79.0,79,79.0,79,7,79,5,79,79,,,,9.0,79,,,79.0,,13.0,,,,
6,9.0,79,79.0,31.0,79,16,18,79,79.0,79.0,8.0,79.0,79.0,12.0,79.0,29.0,79.0,79.0,79.0,17.0,25.0,22.0,79.0,79.0,30.0,,,79,20,15,79,79.0,79,79,79,33,79,79,79.0,79,19,79.0,26,10.0,23,24,79,79,27,3.0,79,79,79,79,14.0,21.0,6.0,32,7.0,79,79,79,2,79,79,11.0,1.0,13.0,79.0,5,79.0,79.0,79.0,,79.0,79.0,4.0,79.0,28.0
7,79.0,2,79.0,79.0,79,79,23,79,,,,,,12.0,24.0,79.0,79.0,79.0,79.0,79.0,9.0,79.0,79.0,3.0,17.0,,,26,5,10,19,,79,79,79,79,79,22,,79,79,14.0,25,18.0,1,79,79,79,79,11.0,79,79,79,79,15.0,,79.0,20,79.0,79,16,8,21,79,79,,79.0,7.0,,79,79.0,4.0,13.0,6.0,,,,,
8,79.0,16,79.0,79.0,28,79,79,12,1.0,79.0,,,,79.0,79.0,79.0,79.0,4.0,25.0,79.0,11.0,79.0,79.0,,79.0,79.0,26.0,79,8,79,79,79.0,79,79,79,79,79,17,,79,79,79.0,79,13.0,22,23,20,79,19,79.0,24,79,7,79,79.0,,5.0,15,79.0,79,9,10,18,14,27,79.0,79.0,79.0,21.0,79,79.0,6.0,3.0,79.0,,79.0,,,2.0
9,,3,,,2,79,27,17,18.0,79.0,,,,30.0,19.0,13.0,5.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,1.0,14.0,,79,79,29,79,11.0,79,8,79,16,79,79,,79,21,79.0,79,23.0,79,12,79,7,6,,79,79,79,10,15.0,,79.0,79,28.0,79,9,79,79,79,79,26.0,24.0,79.0,4.0,79,25.0,79.0,,79.0,,20.0,,,22.0
