ground,261.8,222.4,216.6,314.4,231.7,270.2,266.0,267.3,280.7,294.3,267.3,314.2,231.6,300.0,233.1,269.4,219.6,281.6,213.9,155.0,288.4,294.9,231.4,179.2,321.9,218.4,248.8,242.9,240.4,243.1,303.1,225.6,224.1,185.3,210.1,249.4,185.0,315.0,222.0,214.9,337.0,287.3,245.3,248.2,223.5,287.0,179.2,282.2,241.2,264.9,176.0,220.9,231.3,235.8,244.6,195.6,133.1,266.7,199.2,222.8,173.9,188.5,200.5,215.3,254.9,170.3,161.5,173.6,259.8,190.8,210.1,274.0,313.9,211.3,237.7,196.0,189.9,259.4,206.2,136.0,204.1,213.4,158.1,196.4,213.8,227.8,140.4,211.2,233.4,190.3,196.8,146.4,208.3,212.6,263.8,139.8,185.9,185.1,146.9,143.0
"(<Abstr_type.Q_STAR: 1>, 0.0)",237.4,252.0,269.3,236.0,335.8,221.0,285.0,264.2,244.1,224.5,304.5,249.3,263.2,275.4,201.3,197.5,266.2,227.7,310.8,269.2,261.5,255.4,238.6,236.6,242.8,206.2,260.5,130.6,180.0,132.2,231.0,184.6,236.3,182.8,288.8,156.9,219.6,171.5,175.0,205.4,181.9,192.8,262.4,169.9,244.6,232.2,226.6,152.2,117.2,207.2,207.5,111.4,120.5,235.9,220.5,184.2,208.9,132.7,171.1,162.8,105.2,154.8,143.6,150.6,185.9,185.2,202.1,197.9,192.4,144.1,175.9,189.2,224.2,195.0,111.0,130.8,207.8,119.3,140.8,121.6,112.7,114.0,105.3,83.6,110.5,218.9,153.1,159.2,126.8,167.5,133.2,136.8,135.3,185.8,109.8,156.2,152.4,133.6,112.0,107.3
"(<Abstr_type.A_STAR: 2>, 0.0)",222.0,279.5,277.9,193.8,215.4,167.2,273.7,147.5,147.6,118.4,184.5,165.2,164.5,136.0,102.1,68.3,114.9,119.5,84.1,200.5,135.2,111.5,82.5,59.2,87.2,81.9,102.6,77.2,152.2,96.5,105.9,140.0,101.5,70.2,46.1,93.6,67.2,85.5,92.4,88.0,102.0,75.6,53.5,124.2,73.2,84.7,46.2,33.6,92.9,90.1,64.1,68.9,55.8,38.2,50.5,47.5,34.8,44.4,42.4,80.9,57.3,62.8,129.2,69.9,75.4,37.9,98.9,42.8,34.3,41.4,45.3,60.8,84.2,93.9,49.5,88.0,70.5,52.1,118.2,62.8,67.1,60.6,71.5,64.3,69.0,42.1,42.9,45.6,43.0,98.3,36.8,86.5,42.4,36.9,61.5,32.5,39.2,85.6,45.0,62.1
"(<Abstr_type.PI_STAR: 3>, 0.0)",2029.6,253.5,454.0,507.4,226.9,325.1,76.9,35.9,40.4,35.2,24.6,32.2,24.7,20.0,31.0,32.6,24.0,12.7,25.1,11.2,19.7,18.6,11.0,10.9,15.0,11.8,14.3,12.1,13.4,12.5,11.8,12.0,11.9,12.8,13.7,12.4,14.3,11.4,11.4,13.2,11.1,12.6,10.5,12.6,11.5,14.7,9.7,10.0,11.7,12.6,14.4,13.3,12.5,11.9,14.6,11.3,11.5,15.4,12.5,12.5,12.3,12.4,14.4,13.8,11.4,14.3,14.1,13.2,10.7,13.8,14.7,12.6,13.7,12.3,13.1,11.2,11.7,15.7,14.1,13.7,14.7,11.3,13.3,13.6,12.0,11.6,13.7,12.7,14.1,14.0,13.1,11.9,12.0,13.9,13.8,12.6,11.4,13.3,13.4,9.9
