"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 0, 0)","[((7, 11), 3, 2)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 1, 0)","[((3, 5), 2, 1)]"
"(<Abstr_type.PI_STAR: 3>, 0.0, 'explicit errors', 2, 0)","[((9, 11), 3, 2)]"
