"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 0)",1165.3,2011.5,2834.0,3508.4,3951.1,4553.9,5761.099999999999,6971.4,7835.0,8404.6,8907.9,9548.9,9908.699999999999,10137.3,10486.9,10717.0,11005.2,11178.1,11366.2,11519.0,11847.1,12039.2,12107.800000000001,12238.300000000001,12296.000000000002,13016.700000000003,13078.000000000002,13142.700000000003,13181.000000000002,13225.100000000002,13284.700000000003,13334.100000000002,13404.700000000003,13448.200000000003,13501.100000000002,13527.300000000003,13556.700000000003,13590.400000000003,13620.400000000003,13672.400000000003,13714.200000000003,13744.300000000003,13787.800000000003,13829.800000000003,13858.100000000002,13904.600000000002,13941.200000000003,13993.500000000002,14032.900000000001,14057.2,14151.0,14197.9,14246.3,14359.0,14532.3,14571.5,14645.7,14693.7,14724.7,14755.400000000001,14785.100000000002,14817.300000000003,14863.500000000004,14892.000000000004,14930.200000000004,14973.400000000005,15008.500000000005,15036.800000000005,15067.900000000005,15093.000000000005,15129.500000000005,15203.200000000006,15232.500000000005,15262.800000000005,15292.400000000005,15340.500000000005,15389.900000000005,15422.700000000004,15467.100000000004,15533.200000000004,15570.100000000004,15593.900000000003,15620.200000000003,15649.700000000003,15696.900000000003,15750.500000000004,15790.800000000003,15822.000000000004,15869.700000000004,15941.900000000005,15973.100000000006,15997.200000000006,16057.200000000006,16089.400000000007,16135.100000000008,16162.300000000008,16225.900000000009,16251.400000000009,16276.10000000001,16306.80000000001
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 1)",1002.3,1790.5,2617.2,3545.7,4131.9,4711.599999999999,5345.9,5826.9,6555.5,6912.2,7377.3,8056.5,8318.8,8744.0,9133.1,9675.6,9993.1,10272.4,10533.3,10933.8,11075.199999999999,11201.599999999999,11323.399999999998,11375.799999999997,11423.299999999997,11501.899999999998,11543.599999999999,11574.8,11607.3,11644.099999999999,11666.699999999999,11690.8,11714.8,11743.199999999999,11771.199999999999,11793.699999999999,11840.599999999999,11876.199999999999,11900.4,11923.4,11947.9,11973.6,11998.300000000001,12022.2,12053.2,12077.0,12101.1,12125.0,12147.6,12169.4,12197.0,12241.4,12265.199999999999,12289.599999999999,12314.699999999999,12342.4,12366.0,12390.2,12413.7,12436.800000000001,12460.2,12485.0,12507.7,12541.300000000001,12564.1,12591.1,12613.7,12635.6,12682.9,12712.8,12821.099999999999,12845.8,12868.5,12889.8,12920.4,12944.5,12967.1,12993.6,13022.9,13076.0,13101.6,13123.800000000001,13149.300000000001,13180.1,13223.800000000001,13247.300000000001,13295.1,13319.4,13346.9,13375.3,13398.699999999999,13421.3,13448.599999999999,13472.199999999999,13494.8,13523.199999999999,13551.3,13577.3,13616.699999999999,13641.499999999998
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 2)",1086.0,1886.0,2582.1,3201.7,4337.5,5037.9,5656.5,6147.3,7098.5,7528.7,7944.9,8458.1,8932.4,9280.9,10598.0,10825.7,11077.7,11786.800000000001,12006.900000000001,12161.900000000001,12316.7,12440.6,12514.800000000001,12560.300000000001,12636.1,12691.300000000001,12731.500000000002,12772.900000000001,12801.300000000001,12834.500000000002,12861.400000000001,12891.000000000002,12917.600000000002,12952.200000000003,12977.700000000003,13031.200000000003,13057.400000000003,13093.100000000004,13121.000000000004,13150.300000000003,13175.800000000003,13199.000000000004,13227.400000000003,13252.000000000004,13273.800000000003,13297.000000000004,13319.800000000003,13344.700000000003,13369.400000000003,13395.600000000004,13422.400000000003,13446.600000000004,13469.100000000004,13496.400000000003,13519.000000000004,13544.300000000003,13569.900000000003,13598.300000000003,13622.300000000003,13644.900000000003,13667.800000000003,13697.600000000002,13721.200000000003,13747.800000000003,13771.900000000003,13796.900000000003,13819.700000000003,13844.400000000003,13882.700000000003,13905.500000000002,13936.900000000001,13964.100000000002,13988.300000000003,14012.000000000004,14034.700000000004,14059.900000000005,14083.400000000005,14105.900000000005,14130.100000000006,14154.200000000006,14181.700000000006,14212.300000000007,14235.200000000006,14263.200000000006,14287.300000000007,14313.200000000006,14336.500000000005,14362.300000000005,14385.900000000005,14408.900000000005,14432.000000000005,14454.500000000005,14477.400000000005,14502.800000000005,14538.600000000004,14563.800000000005,14587.500000000005,14617.200000000006,14640.600000000006,14668.500000000005
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 3)",1218.7,2186.8,3077.7000000000003,3652.4000000000005,4775.800000000001,5660.200000000001,6429.900000000001,7027.000000000001,7542.300000000001,8275.1,8797.6,9295.300000000001,9750.2,10075.7,11372.1,11991.9,12269.9,12557.8,12719.3,12897.699999999999,13100.699999999999,13294.999999999998,13394.199999999999,13516.499999999998,13577.499999999998,13654.599999999999,13725.599999999999,13817.199999999999,13968.599999999999,14038.599999999999,14103.899999999998,14160.799999999997,14220.999999999998,14251.999999999998,14286.499999999998,14321.799999999997,14369.599999999997,14430.499999999996,14459.299999999996,14510.999999999996,14545.999999999996,14579.099999999997,14607.199999999997,14719.699999999997,14770.399999999998,14804.499999999998,14847.399999999998,14881.699999999997,14948.899999999998,14979.499999999998,15025.499999999998,15066.199999999999,15091.199999999999,15126.199999999999,15160.599999999999,15186.399999999998,15213.999999999998,15249.099999999999,15273.599999999999,15314.3,15341.0,15370.8,15418.699999999999,15449.999999999998,15479.899999999998,15510.499999999998,15538.399999999998,15574.799999999997,15600.199999999997,15630.799999999997,15657.799999999997,15682.199999999997,15708.199999999997,15733.699999999997,15764.199999999997,15791.299999999997,15815.099999999997,15857.299999999997,15879.999999999998,15906.399999999998,15930.499999999998,15959.299999999997,15981.799999999997,16008.799999999997,16032.499999999998,16064.999999999998,16095.799999999997,16117.899999999998,16150.399999999998,16181.499999999998,16205.099999999999,16229.699999999999,16261.099999999999,16284.8,16307.699999999999,16337.099999999999,16368.3,16395.8,16428.0,16456.2
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 4)",744.3,1603.8,2317.0,3143.3,3833.2000000000003,4240.200000000001,4976.6,5467.1,5904.200000000001,6471.1,6973.8,7301.1,7899.5,8243.8,8521.099999999999,8933.099999999999,9164.199999999999,9439.199999999999,9640.999999999998,9883.699999999999,10053.999999999998,10181.899999999998,10285.899999999998,10408.699999999997,10472.299999999997,10549.299999999997,10636.699999999997,10677.999999999996,10737.599999999997,10777.799999999997,10810.599999999997,10855.699999999997,10885.899999999998,10913.999999999998,10940.099999999999,10965.199999999999,10989.4,11012.8,11043.599999999999,11069.699999999999,11094.999999999998,11117.399999999998,11149.099999999999,11172.399999999998,11202.599999999999,11227.499999999998,11258.899999999998,11309.999999999998,11333.399999999998,11357.499999999998,11382.999999999998,11408.099999999999,11432.499999999998,11456.799999999997,11481.699999999997,11506.199999999997,11530.099999999997,11565.399999999996,11589.699999999995,11613.499999999995,11638.599999999995,11662.299999999996,11685.299999999996,11711.699999999995,11737.499999999995,11765.199999999995,11789.899999999996,11815.899999999996,11847.799999999996,11872.499999999996,11904.899999999996,11928.999999999996,11953.599999999997,11976.699999999997,12002.699999999997,12027.799999999997,12053.399999999998,12076.399999999998,12099.099999999999,12124.899999999998,12149.699999999997,12175.599999999997,12198.799999999997,12221.099999999997,12244.799999999997,12272.699999999997,12296.199999999997,12320.399999999998,12344.899999999998,12368.799999999997,12392.199999999997,12416.499999999996,12439.899999999996,12464.499999999996,12488.499999999996,12512.299999999996,12536.699999999995,12561.799999999996,12585.099999999995,12608.699999999995
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 5)",675.2,1574.3000000000002,2116.1000000000004,2948.4000000000005,3786.5000000000005,4331.700000000001,5421.200000000001,6531.900000000001,6974.500000000001,7555.000000000001,7978.700000000001,8362.800000000001,8714.800000000001,9139.7,9488.900000000001,9767.900000000001,9958.2,10121.800000000001,10442.6,10564.6,11046.800000000001,12176.300000000001,12834.500000000002,13254.700000000003,13739.000000000002,14825.100000000002,15343.500000000002,15867.000000000002,15909.200000000003,15956.600000000002,15994.300000000003,16030.600000000002,16063.100000000002,16094.800000000003,16137.500000000004,16170.200000000004,16194.200000000004,16217.600000000004,16243.200000000004,16268.500000000004,16293.800000000003,16318.100000000002,16342.900000000001,16367.2,16407.0,16449.3,16488.3,16513.399999999998,16550.1,16581.1,16648.6,16682.1,16706.399999999998,16729.1,16753.399999999998,16777.199999999997,16802.699999999997,16829.6,16857.399999999998,16881.399999999998,16910.1,16933.1,16959.3,16984.399999999998,17008.999999999996,17037.299999999996,17062.299999999996,17085.699999999997,17109.299999999996,17133.399999999994,17162.399999999994,17187.399999999994,17211.699999999993,17236.299999999992,17259.799999999992,17283.09999999999,17306.89999999999,17333.19999999999,17357.89999999999,17381.49999999999,17406.099999999988,17430.099999999988,17453.399999999987,17477.899999999987,17503.099999999988,17528.399999999987,17553.499999999985,17577.699999999986,17601.999999999985,17625.499999999985,17647.699999999986,17671.499999999985,17695.999999999985,17719.599999999984,17743.999999999985,17771.799999999985,17797.899999999983,17822.99999999998,17851.699999999983,17876.29999999998
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 6)",1242.4,2726.3,3809.3,4831.2,5758.4,6475.599999999999,7249.9,7876.2,8764.9,9412.4,9751.199999999999,10272.599999999999,10725.399999999998,11161.199999999997,11392.799999999997,11772.399999999998,12107.999999999998,12414.099999999999,12659.3,12987.199999999999,13124.9,13322.0,14455.2,14719.300000000001,14777.1,15848.0,16538.0,16589.4,16767.300000000003,16821.300000000003,16886.100000000002,16959.7,17005.3,17063.3,17092.5,17120.1,17542.899999999998,17573.1,17605.6,17637.899999999998,17814.499999999996,17839.499999999996,17998.499999999996,18021.299999999996,18050.899999999994,18075.899999999994,18098.999999999993,18124.199999999993,18152.099999999995,18174.999999999996,18197.399999999998,18220.999999999996,18255.199999999997,18279.6,18304.6,18343.3,18370.0,18393.4,18418.4,18443.600000000002,18470.4,18503.100000000002,18530.000000000004,18576.700000000004,18602.000000000004,18629.600000000002,18659.2,18682.2,18712.4,18735.5,18761.7,18790.7,18815.0,18849.1,18873.399999999998,18900.399999999998,18925.499999999996,18950.499999999996,18974.699999999997,18998.699999999997,19022.799999999996,19048.199999999997,19071.999999999996,19104.599999999995,19128.299999999996,19159.699999999997,19183.299999999996,19206.899999999994,19229.099999999995,19255.299999999996,19291.399999999994,19322.999999999993,19349.09999999999,19373.799999999992,19403.39999999999,19455.89999999999,19483.19999999999,19506.19999999999,19529.89999999999,19554.299999999992
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 7)",844.8,2222.3999999999996,3068.7999999999997,4012.2,4686.0,5326.3,5770.2,6265.9,7043.4,7821.799999999999,8407.3,8864.5,9178.5,9448.3,9748.5,10077.2,10293.7,11025.2,11259.2,11338.5,11487.0,11635.3,12747.0,13060.2,13762.400000000001,14815.800000000001,15059.2,16095.7,16485.8,16535.5,16581.0,17120.1,17169.6,17211.699999999997,17254.499999999996,17283.799999999996,17312.599999999995,17341.599999999995,17380.799999999996,17415.299999999996,17439.599999999995,17484.899999999994,17510.799999999996,17555.099999999995,17584.799999999996,17623.699999999997,17651.399999999998,17678.699999999997,17721.699999999997,17759.299999999996,17816.499999999996,17840.999999999996,17869.299999999996,17895.299999999996,17922.899999999994,17948.199999999993,17979.999999999993,18089.09999999999,18115.299999999992,18139.199999999993,18169.199999999993,18208.499999999993,18234.399999999994,18260.999999999993,18303.199999999993,18332.999999999993,18359.299999999992,18382.499999999993,18406.799999999992,18429.299999999992,18453.39999999999,18476.299999999992,18504.699999999993,18527.899999999994,18554.199999999993,18585.399999999994,18609.499999999993,18702.199999999993,18729.299999999992,18751.799999999992,18774.09999999999,18798.39999999999,18821.39999999999,18917.99999999999,18945.19999999999,18969.09999999999,18993.499999999993,19056.699999999993,19079.399999999994,19107.599999999995,19131.399999999994,19154.399999999994,19178.099999999995,19211.599999999995,19233.999999999996,19258.699999999997,19376.999999999996,19400.499999999996,19426.799999999996,19450.999999999996
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 8)",1172.1,2439.8,3537.9,4585.7,5455.7,6204.599999999999,6872.2,7285.8,7969.3,8455.3,9019.8,9751.9,10386.8,10727.9,11228.8,11572.5,12044.5,12694.2,13284.5,13619.5,14872.0,14973.7,15042.6,15114.4,15174.6,15217.6,15256.2,15290.0,15321.1,15356.6,15453.2,15479.5,15517.3,15545.199999999999,15577.8,15604.4,15628.4,15664.6,15696.1,15723.7,15752.300000000001,15779.2,15804.400000000001,15848.000000000002,15956.400000000001,15993.2,16024.900000000001,16055.500000000002,16086.500000000002,16120.700000000003,16181.800000000003,16228.300000000003,16255.300000000003,16282.100000000002,16307.300000000003,16336.100000000002,16369.800000000003,16403.000000000004,16437.000000000004,16467.300000000003,16492.200000000004,16516.100000000006,16539.800000000007,16566.700000000008,16594.700000000008,16632.200000000008,16666.800000000007,16691.600000000006,16719.100000000006,16750.700000000004,16776.200000000004,16804.600000000006,16828.400000000005,16859.300000000007,16884.300000000007,16911.900000000005,16935.000000000004,16959.400000000005,16984.000000000004,17012.000000000004,17037.100000000002,17072.100000000002,17096.000000000004,17122.500000000004,17145.900000000005,17170.000000000004,17195.500000000004,17220.400000000005,17246.100000000006,17273.400000000005,17299.600000000006,17333.800000000007,17359.800000000007,17384.300000000007,17409.300000000007,17436.200000000008,17465.300000000007,17492.000000000007,17515.300000000007,17539.600000000006
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.0, 9)",1197.9,2419.6000000000004,3584.3,4190.5,5374.6,6347.8,7079.5,7654.3,8228.1,9232.1,9663.9,9935.0,10338.8,10628.5,11960.6,12774.1,13006.9,13226.4,13368.3,13479.3,13612.5,13678.3,13796.4,13859.0,13979.7,14219.6,14253.4,14286.9,14328.8,14355.8,14378.9,14405.3,14431.599999999999,14460.899999999998,14490.799999999997,14515.099999999997,14539.399999999996,14576.699999999995,14601.299999999996,14751.699999999995,14775.599999999995,14878.899999999994,14901.499999999995,14926.599999999995,14953.599999999995,14985.099999999995,15011.699999999995,15035.199999999995,15059.299999999996,15083.399999999996,15116.599999999997,15139.499999999996,15166.899999999996,15190.899999999996,15214.699999999995,15236.799999999996,15259.699999999995,15281.999999999995,15305.999999999995,15337.099999999995,15359.499999999995,15394.199999999995,15417.399999999996,15442.799999999996,15466.599999999995,15490.699999999995,15512.399999999996,15542.299999999996,15571.199999999995,15593.299999999996,15615.299999999996,15638.199999999995,15662.499999999995,15684.899999999994,15706.399999999994,15729.299999999994,15770.399999999994,15794.399999999994,15816.399999999994,15841.699999999993,15866.399999999994,15890.799999999994,15917.099999999993,15939.799999999994,15964.799999999994,15988.299999999994,16010.699999999993,16036.499999999993,16092.999999999993,16117.499999999993,16140.999999999993,16165.499999999993,16190.099999999993,16213.199999999993,16235.799999999994,16258.799999999994,16286.599999999993,16307.899999999992,16333.599999999993,16356.899999999992
