"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",63.8,78.6,88.8,114.6,121.19999999999999,175.2,197.6,205.6,209.4,214.20000000000002,221.20000000000002,246.00000000000003,249.00000000000003,252.40000000000003,257.20000000000005,260.40000000000003,264.8,270.0,274.4,288.2,292.59999999999997,297.4,301.79999999999995,312.99999999999994,328.3999999999999,338.99999999999994,344.99999999999994,348.3999999999999,352.3999999999999,369.7999999999999,374.3999999999999,377.7999999999999,380.7999999999999,386.5999999999999,389.9999999999999,391.9999999999999,396.1999999999999,400.1999999999999,403.1999999999999,407.39999999999986,411.39999999999986,433.39999999999986,436.79999999999984,441.1999999999998,444.1999999999998,447.1999999999998,450.99999999999983,454.59999999999985,457.79999999999984,482.79999999999984
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",53.4,71.2,75.2,99.6,204.2,221.0,234.4,264.8,276.40000000000003,301.6,312.20000000000005,374.80000000000007,400.80000000000007,428.6000000000001,476.2000000000001,485.6000000000001,522.4000000000001,556.0000000000001,564.8000000000001,569.0000000000001,605.8000000000001,640.6,671.4,682.8,740.1999999999999,754.9999999999999,765.5999999999999,778.3999999999999,914.1999999999998,924.3999999999999,942.3999999999999,948.5999999999999,951.9999999999999,958.3999999999999,974.5999999999999,978.9999999999999,998.1999999999999,1035.1999999999998,1269.1999999999998,1274.9999999999998,1313.5999999999997,1356.9999999999998,1375.7999999999997,1412.3999999999996,1440.3999999999996,1507.1999999999996,1517.9999999999995,1540.9999999999995,1545.7999999999995,1578.9999999999995
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 0)",68.2,133.60000000000002,142.8,160.0,177.6,181.79999999999998,186.79999999999998,214.79999999999998,219.79999999999998,234.39999999999998,271.0,320.2,332.0,359.4,362.2,378.0,404.2,407.2,421.2,465.59999999999997,474.79999999999995,485.59999999999997,531.4,558.4,560.8,572.1999999999999,574.1999999999999,611.9999999999999,620.5999999999999,627.1999999999999,629.5999999999999,641.1999999999999,670.4,674.6,713.6,760.4,780.4,801.0,851.6,879.4,895.0,916.0,922.6,931.0,936.8,950.8,969.4,973.1999999999999,982.4,990.4
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 1)",74.6,100.6,139.0,152.6,168.0,173.6,176.79999999999998,182.6,186.79999999999998,195.79999999999998,198.79999999999998,203.6,208.0,211.2,215.39999999999998,218.39999999999998,220.59999999999997,223.99999999999997,227.19999999999996,230.59999999999997,233.39999999999998,235.99999999999997,239.79999999999998,243.79999999999998,246.79999999999998,250.79999999999998,252.6,256.6,258.8,262.2,265.2,267.59999999999997,272.59999999999997,275.79999999999995,280.19999999999993,283.99999999999994,287.3999999999999,291.19999999999993,295.3999999999999,297.7999999999999,302.9999999999999,307.1999999999999,310.59999999999985,314.59999999999985,316.79999999999984,319.1999999999998,322.99999999999983,326.1999999999998,329.5999999999998,334.1999999999998
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 1)",44.8,181.8,199.8,203.20000000000002,225.00000000000003,234.00000000000003,243.40000000000003,275.8,327.40000000000003,337.00000000000006,357.6000000000001,362.6000000000001,424.2000000000001,430.6000000000001,437.6000000000001,443.00000000000006,448.40000000000003,457.20000000000005,462.40000000000003,477.00000000000006,486.00000000000006,489.6000000000001,512.8000000000001,515.8000000000001,534.4000000000001,557.4000000000001,570.8000000000001,573.2,582.6,590.4,610.1999999999999,633.1999999999999,643.5999999999999,673.3999999999999,687.5999999999999,712.8,723.8,751.1999999999999,758.4,763.4,774.1999999999999,785.5999999999999,797.8,815.5999999999999,818.1999999999999,822.9999999999999,826.5999999999999,832.9999999999999,854.5999999999999,864.8
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 1)",65.6,83.39999999999999,103.0,110.6,121.0,130.0,135.4,139.6,145.79999999999998,149.99999999999997,155.59999999999997,160.99999999999997,164.39999999999998,168.79999999999998,173.6,178.4,182.4,186.6,191.0,193.2,199.2,203.6,207.2,211.2,216.39999999999998,220.99999999999997,224.39999999999998,227.59999999999997,230.99999999999997,235.19999999999996,237.79999999999995,241.19999999999996,247.59999999999997,250.99999999999997,253.79999999999998,258.0,260.8,267.0,270.2,273.4,276.0,280.4,284.79999999999995,288.79999999999995,294.4,297.59999999999997,301.4,304.79999999999995,307.99999999999994,312.59999999999997
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 2)",53.2,115.0,133.8,143.60000000000002,186.00000000000003,202.00000000000003,236.40000000000003,239.20000000000005,245.80000000000004,251.80000000000004,255.60000000000005,259.20000000000005,264.6,267.6,271.20000000000005,275.00000000000006,278.6000000000001,282.6000000000001,286.2000000000001,289.4000000000001,292.6000000000001,297.4000000000001,301.2000000000001,304.2000000000001,307.2000000000001,311.8000000000001,314.40000000000015,317.40000000000015,321.40000000000015,325.8000000000001,330.8000000000001,336.2000000000001,340.6000000000001,343.4000000000001,346.2000000000001,350.2000000000001,355.2000000000001,358.8000000000001,362.2000000000001,364.2000000000001,369.0000000000001,372.0000000000001,374.60000000000014,377.0000000000001,380.2000000000001,383.4000000000001,385.4000000000001,388.4000000000001,392.2000000000001,395.6000000000001
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 2)",60.8,124.4,164.4,183.20000000000002,226.60000000000002,241.00000000000003,260.6,291.8,327.6,337.8,380.0,388.2,392.4,467.4,501.79999999999995,521.4,528.0,536.4,582.8,594.0,649.6,666.0,668.2,711.6,729.6,735.0,748.0,781.6,840.0,859.6,863.6,869.2,907.6,912.2,950.0,952.6,987.8000000000001,1024.8000000000002,1053.4,1095.6000000000001,1107.6000000000001,1145.2,1166.4,1187.8000000000002,1193.6000000000001,1197.8000000000002,1201.4,1231.0,1235.0,1248.4
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 2)",46.2,93.0,114.8,135.8,143.8,147.0,149.2,154.2,157.2,161.39999999999998,164.39999999999998,167.79999999999998,171.6,174.4,178.6,181.0,186.8,190.0,192.6,195.6,198.0,200.4,204.20000000000002,208.20000000000002,212.00000000000003,216.40000000000003,220.80000000000004,223.20000000000005,228.20000000000005,233.40000000000003,236.80000000000004,241.00000000000003,244.60000000000002,250.60000000000002,254.40000000000003,258.00000000000006,263.00000000000006,266.6000000000001,271.80000000000007,275.00000000000006,278.80000000000007,282.00000000000006,286.20000000000005,289.80000000000007,293.00000000000006,297.00000000000006,300.80000000000007,304.4000000000001,308.80000000000007,312.6000000000001
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 1, 3)",85.2,159.2,188.0,1261.4,1860.8000000000002,2905.0,3809.6,4058.7999999999997,4910.0,5244.0,5473.0,5480.6,6028.6,6615.400000000001,6622.000000000001,7428.000000000001,7970.600000000001,8159.600000000001,8920.400000000001,9141.000000000002,9280.600000000002,9474.000000000002,10263.400000000001,10274.600000000002,10810.800000000003,11027.200000000003,11546.800000000003,11992.800000000003,12306.400000000003,12897.400000000003,13178.000000000004,13311.400000000003,13340.400000000003,13679.200000000003,13920.000000000002,14020.400000000001,14056.600000000002,14182.400000000001,14300.800000000001,14353.400000000001,14422.000000000002,14859.000000000002,15031.000000000002,15056.800000000001,15082.6,15159.2,15199.2,15214.6,15249.0,15263.6
